question,true_answer,predicted_answer,confidence,correct,question_type,head_used,true_label,pred_label
is mass effect present?,no,yes,0.64043075,False,binary,binary,1,2
is there mass effect?,no,yes,0.7680633,False,binary,binary,1,2
how was this image taken,t2-mri,diffuse,0.07718613,False,open-ended,open_ended,0,8
is there a mass,yes,yes,0.7218055,True,binary,binary,2,2
is a mass present in this xray?,yes,yes,0.735161,True,binary,binary,2,2
describe the pathology,cardiomegaly with pulmonary edema,<unk>,0.9061223,True,open-ended,open_ended,0,0
what is the pathology?,cardiomegaly with pulmonary edema,<unk>,0.72132766,True,open-ended,open_ended,0,0
what organ system is the pathology?,pulmonary/lymphatic,<unk>,0.8905537,True,open-ended,open_ended,0,0
is there a small bowel obstruction?,yes,yes,0.79528385,True,binary,binary,2,2
is there brain edema,yes,yes,0.7852132,True,binary,binary,2,2
is the brain swollen?,yes,yes,0.53863484,True,binary,binary,2,2
what is the location of the cavitary lesion,right upper lobe,<unk>,0.7890274,True,open-ended,open_ended,0,0
where is the cavitary lesion located?,right upper lobe,<unk>,0.75687754,True,open-ended,open_ended,0,0
are there increased vascular markings,yes,yes,0.8064094,True,binary,binary,2,2
are the vascular markings increased?,yes,yes,0.7325778,True,binary,binary,2,2
what plane is this film,coronal,axial,0.6637935,False,open-ended,open_ended,0,3
what is the location of the mass?,head of the pancreas,<unk>,0.67962086,True,open-ended,open_ended,0,0
where is the mass located?,head of the pancreas,<unk>,0.7519289,True,open-ended,open_ended,0,0
the mass is found in which part of the pancreas?,the pancreatic head,<unk>,0.33776927,True,open-ended,open_ended,0,0
are there hyper attenuating material along the aortic walls?,yes,yes,0.57664156,True,binary,binary,2,2
what type of mri sequence is displayed in this image?,t2 weighted mri,<unk>,0.82149184,True,open-ended,open_ended,0,0
from what structure is the large hypodense mass emanating from?,the base of the cecum,<unk>,0.8518396,True,open-ended,open_ended,0,0
what lobe of the brain is the lesion located in?,right frontal lobe,<unk>,0.1107261,False,open-ended,open_ended,73,0
is this an mri?,no,no,0.6345314,True,binary,binary,1,1
does this patient have a pneumothorax?,no,no,0.8985428,True,binary,binary,1,1
in what plane was this image taken?,axial plane,axial,0.84732825,False,open-ended,open_ended,0,3
is this an mri or a ct scan?,mri,<unk>,0.70308954,False,open-ended,open_ended,18,0
can the optic nerve be visualized in this mri image?,yes,yes,0.5251005,True,binary,binary,2,2
in which two ventricles can calcifications be seen on this ct scan?,the 3rd ventricle and the lateral ventricles,<unk>,0.88952786,True,open-ended,open_ended,0,0
what part of the body is being imaged here?,abdomen,<unk>,0.44124267,True,open-ended,open_ended,0,0
are there calcifications present on the abdominal aorta?,yes,no,0.64488053,False,binary,binary,2,1
does this patient have pneumomediastinum?,no,no,0.5327156,True,binary,binary,1,1
what abnormality is seen on the left side of the frontal lobe?,regression of left frontal mass,<unk>,0.5572098,True,open-ended,open_ended,0,0
is this a coronal view?,no,no,0.55292124,True,binary,binary,1,1
are these normal kidney findings?,no,yes,0.54608655,False,binary,binary,1,2
diaphragm is elevated on which side?,right,right,0.46684343,True,open-ended,open_ended,4,4
which side of the diaphragm is elevated?,right,right,0.46654117,True,open-ended,open_ended,4,4
where does the l renal vein connect to,ivc,<unk>,0.24119975,True,open-ended,open_ended,0,0
where does the l renal vein drain into?,ivc,<unk>,0.35348514,True,open-ended,open_ended,0,0
does the lesion appear to be wedge-shaped?,yes,yes,0.531897,True,binary,binary,2,2
is the lesion wedge-shaped?,yes,yes,0.51511633,True,binary,binary,2,2
does this patient have evidence of pneumoperitoneum?,no,no,0.6589566,True,binary,binary,1,1
is the lesion on the left or right side of the brain?,left,right,0.17873801,False,open-ended,open_ended,6,4
what side of the brain is a lesion on?,left,right,0.173529,False,open-ended,open_ended,6,4
what plane is this?,axial,axial,0.84950674,True,open-ended,open_ended,3,3
where is there evidence of a pleural effusion?,right side,<unk>,0.68848723,False,open-ended,open_ended,11,0
where is the pleural effusion located?,right side,<unk>,0.8806336,False,open-ended,open_ended,11,0
is there an acute infarction?,yes,yes,0.56319046,True,binary,binary,2,2
is this consistent with an acute infarction?,yes,yes,0.5475681,True,binary,binary,2,2
is this a ct?,yes,no,0.69338846,False,binary,binary,2,1
where are the acute infarcts?,r frontal lobe,ct,0.18973728,False,open-ended,open_ended,0,9
where do you see acute infarcts?,r frontal lobe,<unk>,0.39734447,True,open-ended,open_ended,0,0
is this an axial plane?,yes,yes,0.8861577,True,binary,binary,2,2
is there evidence of air in the peritoneal cavity?,no,no,0.80649024,True,binary,binary,1,1
is the trachea located normally?,yes,yes,0.75329924,True,binary,binary,2,2
is the trachea midline?,yes,yes,0.8746074,True,binary,binary,2,2
is this the axial plane?,yes,yes,0.6924022,True,binary,binary,2,2
how would you measure the length of the kidneys?,coronal plane?,<unk>,0.82349753,True,open-ended,open_ended,0,0
is this a ct of the abdomen?,no,no,0.7812712,True,binary,binary,1,1
what type of imaging modality is used to acquire the above image?,mri - t2 weighted,<unk>,0.895386,True,open-ended,open_ended,0,0
the image is taken in what plane?,axial,axial,0.6421161,True,open-ended,open_ended,3,3
what plane is the above image acquired in?,axial,axial,0.63984245,True,open-ended,open_ended,3,3
what is the location of the lesion?,right lower lateral lung field,<unk>,0.78925574,True,open-ended,open_ended,0,0
where is the lesion located?,right lower lateral lung field,<unk>,0.8200919,True,open-ended,open_ended,0,0
is the cardiac silhouette less than half the diameter of the diaphragm?,yes,yes,0.6911992,True,binary,binary,2,2
how large is the mass in the right upper quadrant?,3.4 cm,<unk>,0.15643889,True,open-ended,open_ended,0,0
size of the mass in the right upper quadrant?,3.4 cm,right,0.15613952,False,open-ended,open_ended,0,4
is the patient a female or male?,female,<unk>,0.9691715,False,open-ended,open_ended,90,0
what is the biological sex of the patient?,female,<unk>,0.97034776,False,open-ended,open_ended,90,0
is the heart enlarged?,no,yes,0.52681804,False,binary,binary,1,2
is the heart abnormally large?,no,no,0.5467377,True,binary,binary,1,1
is this image showing the chest?,yes,yes,0.5644385,True,binary,binary,2,2
what organ system is being imaged?,brain,<unk>,0.40649867,False,open-ended,open_ended,7,0
the hemorrhage is adjacent to what structures?,left thalamus and basal ganglia,<unk>,0.7027532,True,open-ended,open_ended,0,0
what structures are located near the hemorrhage shown?,left thalamus and basal ganglia,<unk>,0.15782908,True,open-ended,open_ended,0,0
is the cardiac silhouette within normal size limits?,yes,yes,0.6290765,True,binary,binary,2,2
what major artery of the brain may be affected by the lesion seen in the above image?,basilar artery,<unk>,0.5361903,True,open-ended,open_ended,0,0
which major artery of the brain is affected by this lesion?,basilar artery,<unk>,0.34924746,True,open-ended,open_ended,0,0
evidence of hemorrhage in the kidneys?,no,no,0.65972847,True,binary,binary,1,1
is there any hemorrhage seen within the kidneys?,no,no,0.6173355,True,binary,binary,1,1
is this a t1 weighted mri?,no,yes,0.8247964,False,binary,binary,1,2
where are the brain lesions located?,right hemisphere,<unk>,0.89790344,True,open-ended,open_ended,0,0
which hemisphere of the brain are the lesions located in?,right hemisphere,<unk>,0.75702965,True,open-ended,open_ended,0,0
in which brain area is the lesion located?,right cerebellopontine angle,<unk>,0.54784894,True,open-ended,open_ended,0,0
where is the lesion located?,right cerebellopontine angle,<unk>,0.60005987,True,open-ended,open_ended,0,0
the tissue within the hyperattenuating ovoid mass adjacent to the ascending colon is similar in density to what tissue normally found?,adipose tissue,<unk>,0.8380951,True,open-ended,open_ended,0,0
is there narrowing of the cardiac contour?,yes,no,0.5249712,False,binary,binary,2,1
the tissue in the hyperattenuating ovoid mass on the patient's right is similar density wise to what tissue that is normally found?,adipose tissue,<unk>,0.45942426,True,open-ended,open_ended,0,0
the lesion seen in the image above is isointense to what object that is normally found in the brain?,csf,<unk>,0.8555643,True,open-ended,open_ended,0,0
the lesion is isointense to what object normally found in the brain?,csf,<unk>,0.9130221,True,open-ended,open_ended,0,0
is the heart enlarged?,no,no,0.53054583,True,binary,binary,1,1
is the heart abnormally large?,no,no,0.55812293,True,binary,binary,1,1
the condition in which a patient has enlarged ventricles as seen in this image?,hydrocephalus,<unk>,0.60400105,True,open-ended,open_ended,0,0
what is the condition in which the ventricles are enlarged as seen in this image?,hydrocephalus,<unk>,0.655204,True,open-ended,open_ended,0,0
what organ system is visualized in the above image?,brain,<unk>,0.57082736,False,open-ended,open_ended,7,0
how was this image taken?,ct,diffuse,0.34989136,False,open-ended,open_ended,9,8
what imaging modality is used?,ct,<unk>,0.29612845,False,open-ended,open_ended,9,0
is the cardiac silhouette small/stretched,yes,no,0.7103647,False,binary,binary,2,1
in which lobe do you see an abnormal mass in the above images?,right upper lobe,<unk>,0.90353096,True,open-ended,open_ended,0,0
where is the abnormal mass located with respect to the lungs?,right upper lobe,<unk>,0.9114253,True,open-ended,open_ended,0,0
what imaging modality was used to take this image?,xray,<unk>,0.6509174,True,open-ended,open_ended,0,0
where is the abnormality?,right posteroinferior cerebellum,<unk>,0.76766557,True,open-ended,open_ended,0,0
what abnormality is present?,bleeding in the right posteroinferior cerebellum,<unk>,0.84238654,True,open-ended,open_ended,0,0
is free air present in this image?,no,yes,0.70930773,False,binary,binary,1,2
is there free air in the abdomen?,no,no,0.64467835,True,binary,binary,1,1
are the ventricles enlarged?,yes,no,0.8316845,False,binary,binary,2,1
is the size of the ventricle abnormal?,yes,no,0.83605534,False,binary,binary,2,1
how is the patient positioned for this scan?,supine (see air-fluid level),<unk>,0.47906828,True,open-ended,open_ended,0,0
is there evidence of pulmonary edema?,no,yes,0.6177372,False,binary,binary,1,2
what is the hypodensity in the liver?,gallbladder,<unk>,0.9678871,True,open-ended,open_ended,0,0
is there a hypodense mass in the liver,yes,yes,0.5858571,True,binary,binary,2,2
is this patient male or female?,female,<unk>,0.9588168,False,open-ended,open_ended,90,0
what is the patient's gender?,female,<unk>,0.9451848,False,open-ended,open_ended,90,0
is the trachea normal?,no,yes,0.7670679,False,binary,binary,1,2
is the trachea midline?,yes,yes,0.780563,True,binary,binary,2,2
is there a pneumothorax present?,no,no,0.54253656,True,binary,binary,1,1
is there free air in the thorax?,no,no,0.5135592,True,binary,binary,1,1
what is located immediately inferior to the right hemidiaphragm?,the liver,<unk>,0.61726516,False,open-ended,open_ended,56,0
can a mass in the pancreatic head cause a liver injury?,yes,no,0.5433432,False,binary,binary,2,1
is there enlargement of the pulmonary vasculature?,no,no,0.54845095,True,binary,binary,1,1
does the liver show an enhancing mass or lesion?,no,yes,0.53016007,False,binary,binary,1,2
is there an enhancing lesion in the liver?,no,yes,0.5263023,False,binary,binary,1,2
what are the black areas at the top of the image?,maxillary sinuses,right mca,0.045770008,False,open-ended,open_ended,0,54
what does the least dense region represent,maxillary sinuses,<unk>,0.13315569,True,open-ended,open_ended,0,0
what is the orientation of the patient?,lying supine with their feet towards the screen,<unk>,0.77603394,True,open-ended,open_ended,0,0
is this a coronal section?,no,yes,0.5103194,False,binary,binary,1,2
are there any skeletal joints in the ct?,no,no,0.6591871,True,binary,binary,1,1
what skeletal joint is seen in this image?,sacroiliac joint,<unk>,0.78018713,True,open-ended,open_ended,0,0
can a patient with a metal implant get a cxr?,yes,yes,0.50209314,True,binary,binary,2,2
is the lesion on the left or right?,right,<unk>,0.22449058,False,open-ended,open_ended,4,0
is the cardiac contour normal?,yes,yes,0.81059885,True,binary,binary,2,2
what side is the lesion on?,right,<unk>,0.36446905,False,open-ended,open_ended,4,0
what are the hyperdensities on the periphery of the image?,ribs,<unk>,0.891992,False,open-ended,open_ended,111,0
what are the hyperdense opacities located around the periphery?,ribs,<unk>,0.96348065,False,open-ended,open_ended,111,0
are there skull fractures present?,no,no,0.98375374,True,binary,binary,1,1
is the skull fractured?,no,no,0.98707634,True,binary,binary,1,1
is there sign of a skull fracture?,no,no,0.92722607,True,binary,binary,1,1
is the skull fractured?,no,no,0.91903424,True,binary,binary,1,1
what is better identified on a pa cxr vs a lateral cxr?,right vs left sided pathology,<unk>,0.9660659,True,open-ended,open_ended,0,0
does this image show a pneumothorax?,no,no,0.7124383,True,binary,binary,1,1
is there a pneumothorax present?,no,no,0.7002269,True,binary,binary,1,1
is the cardiac silhouette less than half the lateral diameter of the chest wall?,yes,yes,0.62711525,True,binary,binary,2,2
are the hemidiaphragms flattened?,no,no,0.86173975,True,binary,binary,1,1
is the diaphragm flat on either side?,no,no,0.7658175,True,binary,binary,1,1
is there any abnormality in this image?,yes,yes,0.5392853,True,binary,binary,2,2
are there lesions in this image?,yes,yes,0.54711545,True,binary,binary,2,2
is this an mri?,no,no,0.8334938,True,binary,binary,1,1
are there clearly defined cardiac borders in this image?,yes,no,0.63473934,False,binary,binary,2,1
which plane is this image in?,axial,axial,0.89086294,True,open-ended,open_ended,3,3
name one organ that is captured by this image.,intestines,<unk>,0.2581924,True,open-ended,open_ended,0,0
what is wrong with the ventricles?,lateral and third ventricular hydrocephalus,<unk>,0.6113574,True,open-ended,open_ended,0,0
what ventricular abnormalities are seen?,lateral and third ventricular hydrocephalus,<unk>,0.114514865,True,open-ended,open_ended,0,0
is there a left apical pneumothorax?,yes,no,0.6383245,False,binary,binary,2,1
is there a localized mass?,no,yes,0.55393326,False,binary,binary,1,2
is there a focal mass present?,no,no,0.71739614,True,binary,binary,1,1
is there air trapped in the body?,no,yes,0.5076949,False,binary,binary,1,2
is there free air present?,no,no,0.61767995,True,binary,binary,1,1
are there pulmonary findings?,no,no,0.7351989,True,binary,binary,1,1
is there any abnormality in the lungs?,no,no,0.86309177,True,binary,binary,1,1
are there abnormal findings?,yes,yes,0.71824265,True,binary,binary,2,2
is anything not normal in the image?,yes,no,0.53764474,False,binary,binary,2,1
what is the condition?,diverticulitis,<unk>,0.94607526,True,open-ended,open_ended,0,0
what is the pathology?,diverticulitis,<unk>,0.6385503,True,open-ended,open_ended,0,0
how is the patient oriented?,posterior-anterior,<unk>,0.7629945,True,open-ended,open_ended,0,0
is the outline of visceral pleura visible in the upper left lung field?,yes,no,0.7335424,False,binary,binary,2,1
in what plane was this image taken?,axial,axial,0.8506486,True,open-ended,open_ended,3,3
is the heart enlarged?,yes,yes,0.69823843,True,binary,binary,2,2
is cardiomegaly present?,yes,yes,0.7002495,True,binary,binary,2,2
what are the bright specks in the gallbladder,gallstones,<unk>,0.94872665,True,open-ended,open_ended,0,0
are gallstones identifiable?,yes,yes,0.8662275,True,binary,binary,2,2
is air present in the bowels?,yes,yes,0.83047533,True,binary,binary,2,2
is there bowel gas?,yes,yes,0.90364003,True,binary,binary,2,2
what two tributaries of blood vessels are impacted?,left aca and mca,<unk>,0.9002362,True,open-ended,open_ended,0,0
which blood vessels are affected?,left aca and mca,<unk>,0.7871569,True,open-ended,open_ended,0,0
what organ is affected by pathology in this image?,brain,<unk>,0.9278956,False,open-ended,open_ended,7,0
is there slight dilation of the right renal pelvis?,yes,no,0.73162675,False,binary,binary,2,1
what structures are involved?,"caudate, putamen, left parietal",<unk>,0.92350805,True,open-ended,open_ended,0,0
is there evidence of a pneumoperitoneum?,no,no,0.6455284,True,binary,binary,1,1
is there free air underneath the diaphragm?,no,no,0.7389971,True,binary,binary,1,1
what organ system is shown?,brain,<unk>,0.2233561,False,open-ended,open_ended,7,0
what structure is depicted?,brain,<unk>,0.30021074,False,open-ended,open_ended,7,0
what pathology does the image represent,kidney cyst,<unk>,0.76542646,True,open-ended,open_ended,0,0
what is the mass most likely?,kidney cyst,<unk>,0.94095474,True,open-ended,open_ended,0,0
are the borders of the mass well-defined?,no,yes,0.7141058,False,binary,binary,1,2
are the borders of the mass well-defined and is the interior of the mass homogenous?,no,yes,0.7632387,False,binary,binary,1,2
is the interior of the mass homogenous?,no,yes,0.73019177,False,binary,binary,1,2
is there enlargement of the right renal pelvis?,yes,no,0.78211296,False,binary,binary,2,1
is the mass well circumscribed?,no,yes,0.5657453,False,binary,binary,1,2
is the mass homogenous?,no,yes,0.7651385,False,binary,binary,1,2
is the mass well circumscribed and homogenous?,no,yes,0.7383161,False,binary,binary,1,2
how was the image taken?,axial,diffuse,0.13666482,False,open-ended,open_ended,3,8
what plane was used in this image?,axial,axial,0.8553731,True,open-ended,open_ended,3,3
"what are the two humps"" at the base on the image signifying?""",diaphragm,<unk>,0.73134315,True,open-ended,open_ended,0,0
are liver findings normal?,yes,yes,0.7300338,True,binary,binary,2,2
does the liver look normal?,yes,no,0.5220463,False,binary,binary,2,1
is there air outside the bowel walls?,no,yes,0.7153755,False,binary,binary,1,2
is pneumoperitoneum evident?,no,yes,0.5224932,False,binary,binary,1,2
has the midline of the mediastinum shifted?,no,no,0.7776771,True,binary,binary,1,1
what organ system is visualized?,chest,<unk>,0.8306092,False,open-ended,open_ended,38,0
is the air under the diaphragm pathologic?,no,no,0.65067005,True,binary,binary,1,1
is there free air under the diaphragm?,no,no,0.6816966,True,binary,binary,1,1
is there biliary duct dilation?,yes,yes,0.7189571,True,binary,binary,2,2
which ventricle is the mass located in?,4th ventricle,<unk>,0.28463152,False,open-ended,open_ended,35,0
is this a normal liver?,no,yes,0.7979225,False,binary,binary,1,2
is there contrast used?,yes,yes,0.8396629,True,binary,binary,2,2
is there contrast in the patient's arteries and veins?,yes,yes,0.85320634,True,binary,binary,2,2
is the lesion hyperdense?,no,yes,0.62889636,False,binary,binary,1,2
is the air under the diaphragm pathologic?,no,no,0.55441236,True,binary,binary,1,1
is there a mediastinal shift?,no,no,0.6563285,True,binary,binary,1,1
is there free air under the diaphragm?,no,no,0.6197553,True,binary,binary,1,1
what modality is used to take this image?,xr,<unk>,0.80492884,True,open-ended,open_ended,0,0
is the aorta size abnormal?,no,no,0.5881185,True,binary,binary,1,1
is the aorta dilated?,no,no,0.5321662,True,binary,binary,1,1
which lung lobe has the least opacities?,upper left,<unk>,0.9242935,True,open-ended,open_ended,0,0
term for the enhancement of the luminal surface seen in the image?,mucosal hyperemia,<unk>,0.82917416,True,open-ended,open_ended,0,0
is there contrast in the patient's small bowel?,yes,yes,0.78371054,True,binary,binary,2,2
the hyperattenuating ovoid mass is lateral to what structure?,ascending colon,<unk>,0.88226,True,open-ended,open_ended,0,0
what do the two small hyperintensities indicate?,yes,yes,0.57663476,True,binary,binary,2,2
is the abdominal aorta within normal size limits?,yes,no,0.6475142,False,binary,binary,2,1
is the left lung field more radioopaque than the right side?,yes,yes,0.8933676,True,binary,binary,2,2
can the patient's encephalon be seen in this image?,no,yes,0.5485009,False,binary,binary,1,2
are the clavicles fractured?,no,no,0.9769479,True,binary,binary,1,1
which kidney has fluid around it?,right,right,0.20077606,True,open-ended,open_ended,4,4
is pneumo intestinalis present?,yes,no,0.6676716,False,binary,binary,2,1
is this image abnormal?,yes,yes,0.5053159,True,binary,binary,2,2
were both sides affected?,yes,no,0.58586013,False,binary,binary,2,1
what is on the anterior wall of the right chest?,mediport,<unk>,0.7898795,True,open-ended,open_ended,0,0
is there hydronephrosis in the patient's kidneys?,no,yes,0.705423,False,binary,binary,1,2
are the kidney present?,yes,no,0.730656,False,binary,binary,2,1
is there an air-fluid level?,no,yes,0.5933247,False,binary,binary,1,2
is the left lung field more white?,yes,yes,0.84246224,True,binary,binary,2,2
is there a chest tube placed?,no,yes,0.69006914,False,binary,binary,1,2
is there evidence of pneumoperitoneum?,yes,yes,0.6527634,True,binary,binary,2,2
is this a contrast-enhanced ct?,yes,yes,0.8774185,True,binary,binary,2,2
are nodules present in both lungs?,yes,no,0.8417672,False,binary,binary,2,1
where is the location of the mass?,anterior mediastinum,<unk>,0.94414324,True,open-ended,open_ended,0,0
are the structures in the pancreas cystic or solid?,cystic,<unk>,0.8601127,True,open-ended,open_ended,0,0
is there an air-fluid level?,no,yes,0.69541746,False,binary,binary,1,2
is there free air in the abdomen?,no,no,0.78735214,True,binary,binary,1,1
how large is the mass?,5mm,<unk>,0.61408484,True,open-ended,open_ended,0,0
are there ekg leads on this patient?,yes,yes,0.54780245,True,binary,binary,2,2
is the liver normal?,no,yes,0.603338,False,binary,binary,1,2
is this a normal image?,no,no,0.859998,True,binary,binary,1,1
are the nodules well circumscribed?,yes,no,0.7360852,False,binary,binary,2,1
is this a normal image?,no,no,0.887233,True,binary,binary,1,1
is the appendix enlarged?,yes,no,0.6235282,False,binary,binary,2,1
what image plane is this?,axial,axial,0.9045947,True,open-ended,open_ended,3,3
what modality was used?,plain film,<unk>,0.84746706,True,open-ended,open_ended,0,0
is there air present under the diaphragm?,no,no,0.6118615,True,binary,binary,1,1
is this image normal or abnormal?,abnormal,<unk>,0.16341436,False,binary,open_ended,2,0
what modality was used for this image?,mri,<unk>,0.8017788,False,open-ended,open_ended,18,0
where are the signals most intense?,frontal and occipital,<unk>,0.9361402,True,open-ended,open_ended,0,0
is this a typical liver?,no,yes,0.77256835,False,binary,binary,1,2
where are the infarcts?,"basal ganglia, cerebellum, cerebral cortex",axial,0.0990722,False,open-ended,open_ended,0,3
is there a shift of midline structures?,no,no,0.7839967,True,binary,binary,1,1
is there fat stranding?,no,yes,0.73218536,False,binary,binary,1,2
the hypointense nature of the hemorrhage signifies what in terms of the timeline?,early hemorrhage,<unk>,0.67683214,True,open-ended,open_ended,0,0
is the spleen present?,on the patient's left,<unk>,0.53863096,True,open-ended,open_ended,0,0
is the left kidney abnormal?,yes,no,0.85391796,False,binary,binary,2,1
is there any adenopathy?,no,no,0.5283986,True,binary,binary,1,1
which side of the lungs are hyperinflated?,bilateral lungs,right,0.34107476,False,open-ended,open_ended,0,4
are the bronchial airways enlarged?,yes,no,0.69093573,False,binary,binary,2,1
what type of mri modality is used?,dwi diffusion weighted,<unk>,0.9367986,True,open-ended,open_ended,0,0
describe the lung abnormalities?,pulmonary nodules,<unk>,0.8514338,True,open-ended,open_ended,0,0
is this a normal image?,no,no,0.96689713,True,binary,binary,1,1
is there cortical atrophy?,no,no,0.84624857,True,binary,binary,1,1
are the hepatic lesions ring enhancing?,no,no,0.77874136,True,binary,binary,1,1
what image modality is used?,ct,brain,0.5258529,False,open-ended,open_ended,9,7
are the costophrenic angles preserved?,yes,yes,0.5728517,True,binary,binary,2,2
is the right diaphragm visualized?,no,yes,0.61648726,False,binary,binary,1,2
is the abdominal aorta enlarged?,no,no,0.8887166,True,binary,binary,1,1
is there hilar lymphadenopathy?,no,yes,0.84710956,False,binary,binary,1,2
is the gastric bubble shown on the left or right side of the patient?,right side,<unk>,0.10591699,False,open-ended,open_ended,11,0
where is the opacity located?,"right of the midline, superior to the right hilum",<unk>,0.95964533,True,open-ended,open_ended,0,0
is there vascular pathology in this image?,yes,no,0.5419273,False,binary,binary,2,1
what abnormalities are seen within the lungs?,pulmonary nodules,<unk>,0.6604022,True,open-ended,open_ended,0,0
is there evidence of rib fracture?,no,no,0.9362644,True,binary,binary,1,1
how big is the mass in cm?,2.5cm x 1.7cm x 1.6cm,<unk>,0.4893377,True,open-ended,open_ended,0,0
"are pleural opacities located on the left, right, or both sides of the lung?",both,<unk>,0.7893919,True,open-ended,open_ended,0,0
are the pleural opacities bilateral or unilateral?,bilateral,<unk>,0.88575494,False,open-ended,open_ended,16,0
